question,votes,tags
"How do servlets work? Instantiation, sessions, shared variables and multithreading",1176,java multithreading servlets session-variables instance-variables
Convert ArrayList<String> to String[] array [duplicate],1169,java arrays arraylist
How can I initialise a static Map?,1155,java dictionary collections initialization idioms
How to create a generic array in Java?,1134,java arrays generics reflection instantiation
What are the possible values of the Hibernate hbm2ddl.auto configuration and what do they do,1120,java hibernate hbm2ddl
What are the -Xms and -Xmx parameters when starting JVM?,1109,java memory-management parameters jvm
How to parse JSON in Java,1108,java json parsing
How to get the current working directory in Java?,1100,java java-io
How to install Java 8 on Mac,1091,java macos java-8 installation
Converting 'ArrayList<String> to 'String[]' in Java,1078,java arrays string arraylist collections
Converting array to list in Java,1077,java arrays list data-conversion
"Download a file with Android, and showing the progress in a ProgressDialog",1075,java android download android-asynctask
Which @NotNull Java annotation should I use?,1071,java nullpointerexception null annotations ide
How can I pad an integer with zeros on the left?,1066,java formatting zero-pad
Can't execute jar- file: “no main manifest attribute”,1066,java jar manifest main
Including all the jars in a directory within the Java classpath,1056,java command-line classpath
How can I generate an MD5 hash?,1026,java hash md5 hashcode
"What is the difference between canonical name, simple name and class name in Java Class?",1025,java
What does 'synchronized' mean?,1021,java multithreading keyword synchronized
How can I get the current stack trace in Java?,1019,stack-trace java
Why can't I use switch statement on a String?,1017,java string switch-statement
Why doesn't RecyclerView have onItemClickListener()?,986,java android android-recyclerview
How to mock void methods with Mockito,984,java unit-testing mocking mockito void
Static Classes In Java,984,java static-classes
"Difference between HashMap, LinkedHashMap and TreeMap",982,java map
Can't start Eclipse - Java was started but returned exit code=13,982,java android windows eclipse 32bit-64bit
:: (double colon) operator in Java 8,982,java java-8
"Java 8 List<V> into Map<K, V>",972,java lambda java-8 java-stream
StringBuilder vs String concatenation in toString() in Java,961,java performance string concatenation stringbuilder
What is the difference between JDK and JRE?,960,java
Reading a plain text file in Java,955,java file-io ascii
When to use static methods,946,java static-methods
Failed to load the JNI shared Library (JDK),938,java windows eclipse java-native-interface
Java: How to resolve java.lang.NoClassDefFoundError: javax/xml/bind/JAXBException,926,java jaxb java-9 java-11 java-10
